,tickers
605,CASI
606,CASS
607,CASY
608,CATB
609,CATC
610,CATH
611,CATM
612,CATY
613,CBAN
614,CBAT
615,CBAY
616,CBFV
617,CBIO
618,CBLI
619,CBMB
620,CBMG
621,CBNK
622,CBPO
623,CBRL
624,CBSH
625,CBTX
626,CCAP
627,CCB
628,CCBG
629,CCCC
630,CCD
631,CCLP
632,CCMP
633,CCNC
634,CCNE
635,CCNEP
636,CCOI
637,CCRC
638,CCRN
639,CCXI
640,CD
641,CDAK
642,CDC
643,CDEV
644,CDK
645,CDL
646,CDLX
647,CDMO
648,CDMOP
649,CDNA
650,CDNS
651,CDTX
652,CDW
653,CDXC
654,CDXS
655,CDZI
656,CECE
657,CEFA
658,CELC
659,CELH
660,CEMI
661,CENT
662,CENTA
663,CENX
664,CERC
665,CERE
666,CEREW
667,CERN
668,CERS
669,CETX
670,CETXP
671,CETXW
672,CEVA
673,CEY
674,CEZ
675,CFA
676,CFACU
677,CFB
678,CFBI
679,CFBK
680,CFFI
681,CFFN
682,CFII
683,CFIIU
684,CFIIW
685,CFMS
686,CFO
687,CFRX
688,CG
689,CGBD
690,CGC
691,CGEN
692,CGIX
693,CGNX
694,CGO
695,CGRO
696,CGROU
697,CGROW
698,CHB
699,CHCI
700,CHCO
701,CHDN
702,CHEF
703,CHEK
704,CHEKZ
705,CHFS
706,CHI
707,CHKP
708,CHMA
709,CHMG
710,CHNA
711,CHNG
712,CHNGU
713,CHNR
714,CHPM
715,CHPMU
716,CHPMW
717,CHRS
718,CHRW
719,CHSCL
720,CHSCM
721,CHSCN
722,CHSCO
723,CHSCP
724,CHTR
725,CHUY
726,CHW
727,CHY
728,CIBR
729,CID
730,CIDM
731,CIGI
732,CIH
733,CIIC
734,CIICU
735,CIICW
736,CIL
737,CINF
738,CIVB
739,CIZ
740,CIZN
741,CJJD
742,CKPT
743,CLAR
744,CLBK
745,CLBS
746,CLCT
747,CLDB
748,CLDX
749,CLEU
750,CLFD
751,CLGN
752,CLIR
753,CLLS
754,CLMT
755,CLNE
756,CLOU
757,CLPS
758,CLPT
759,CLRB
760,CLRBZ
761,CLRG
762,CLRO
763,CLSD
764,CLSK
765,CLSN
766,CLVS
767,CLWT
768,CLXT
769,CMBM
770,CMCO
771,CMCSA
772,CMCT
773,CMCTP
774,CME
775,CMFNL
776,CMLF
777,CMLFU
778,CMLFW
779,CMLS
780,CMPI
781,CMPR
782,CMPS
783,CMRX
784,CMTL
785,CNBKA
786,CNCE
787,CNCR
788,CNDT
789,CNET
790,CNFR
791,CNFRL
792,CNNB
793,CNOB
794,CNSL
795,CNSP
796,CNST
797,CNTG
798,CNTY
799,CNXCV
800,CNXN
801,COCP
802,CODA
803,CODX
804,COFS
805,COGT
806,COHR
807,COHU
808,COKE
809,COLB
810,COLL
811,COLM
812,COMM
813,COMT
814,CONE
815,CONN
816,CONXU
817,COOP
818,CORE
819,CORT
820,COST
821,COUP
822,COWN
823,COWNL
824,COWNZ
825,CPAH
826,CPHC
827,CPIX
828,CPLP
829,CPRT
830,CPRX
831,CPSH
832,CPSI
833,CPSS
834,CPST
835,CPTA
836,CPTAG
837,CPTAL
838,CPZ
839,CRAI
840,CRBP
841,CRDF
842,CREE
843,CREG
844,CRESY
845,CREX
846,CREXW
847,CRIS
848,CRMT
849,CRNC
850,CRNT
851,CRNX
852,CRON
853,CROX
854,CRSA
855,CRSAU
856,CRSAW
857,CRSP
858,CRSR
859,CRTD
860,CRTDW
861,CRTO
862,CRTX
863,CRUS
864,CRVL
865,CRVS
866,CRWD
867,CRWS
868,CSA
869,CSB
870,CSBR
871,CSCO
872,CSCW
873,CSF
874,CSGP
875,CSGS
876,CSII
877,CSIQ
878,CSML
879,CSOD
880,CSPI
881,CSQ
882,CSSE
883,CSSEN
884,CSSEP
885,CSTE
886,CSTL
887,CSTR
888,CSWC
889,CSWCL
890,CSWI
891,CSX
892,CTAS
893,CTBI
894,CTEC
895,CTG
896,CTHR
897,CTIB
898,CTIC
899,CTMX
900,CTRE
901,CTRM
902,CTRN
903,CTSH
904,CTSO
905,CTXR
906,CTXRW
907,CTXS
908,CUBA
909,CUE
910,CURI
911,CURIW
912,CUTR
913,CVAC
914,CVBF
915,CVCO
916,CVCY
917,CVET
918,CVGI
919,CVGW
920,CVLG
921,CVLT
922,CVLY
923,CVV
924,CWBC
925,CWBR
926,CWCO
927,CWST
928,CXDC
929,CXDO
930,CXSE
931,CYAD
932,CYAN
933,CYBE
934,CYBR
935,CYCC
936,CYCCP
937,CYCN
938,CYRN
939,CYRX
940,CYTK
941,CZNC
942,CZR
943,CZWI
944,DADA
945,DAIO
946,DAKT
947,DALI
948,DARE
949,DAX
950,DBDR
951,DBDRU
952,DBDRW
953,DBVT
954,DBX
955,DCOM
956,DCOMP
957,DCPH
958,DCRBU
959,DCT
960,DCTH
961,DDIV
962,DDOG
963,DEMZ
964,DENN
965,DFFN
966,DFHT
967,DFHTU
968,DFHTW
969,DFNL
970,DFPH
971,DFPHU
972,DFPHW
973,DGICA
974,DGICB
975,DGII
976,DGLY
977,DGNS
978,DGRE
979,DGRS
980,DGRW
981,DHC
982,DHCNI
983,DHCNL
984,DHIL
985,DINT
986,DIOD
987,DISCA
988,DISCB
989,DISCK
990,DISH
991,DJCO
992,DKNG
993,DLHC
994,DLPN
995,DLPNW
996,DLTH
997,DLTR
998,DMAC
999,DMLP
1000,DMRC
1001,DMTK
1002,DMXF
1003,DNKN
1004,DNLI
1005,DOCU
1006,DOGZ
1007,DOMO
1008,DOOO
1009,DORM
1010,DOX
1011,DOYU
1012,DRAD
1013,DRADP
1014,DRIO
1015,DRIOW
1016,DRIV
1017,DRNA
1018,DRRX
1019,DRTT
1020,DSACU
1021,DSGX
1022,DSKE
1023,DSKEW
1024,DSPG
1025,DSWL
1026,DTEA
1027,DTIL
1028,DTSS
1029,DUO
1030,DUOT
1031,DUSA
1032,DVAX
1033,DVLU
1034,DVOL
1035,DVY
1036,DWAS
1037,DWAT
1038,DWAW
1039,DWCR
1040,DWEQ
1041,DWFI
1042,DWLD
1043,DWMC
1044,DWPP
1045,DWSH
1046,DWSN
1047,DWUS
1048,DXCM
1049,DXGE
1050,DXJS
1051,DXLG
1052,DXPE
1053,DXYN
1054,DYAI
1055,DYN
1056,DYNT
1057,DZSI
1058,EA
1059,EAR
1060,EARS
1061,EAST
1062,EBAY
1063,EBAYL
1064,EBC
1065,EBIX
1066,EBIZ
1067,EBMT
1068,EBON
1069,EBSB
1070,EBTC
1071,ECHO
1072,ECOL
1073,ECOLW
1074,ECOR
1075,ECOW
1076,ECPG
1077,EDAP
1078,EDIT
1079,EDOC
1080,EDRY
1081,EDSA
1082,EDTK
1083,EDUC
1084,EDUT
1085,EEFT
1086,EEMA
1087,EFAS
1088,EFOI
1089,EFSC
1090,EGAN
1091,EGBN
1092,EGLE
1093,EGOV
1094,EGRX
1095,EH
1096,EHTH
1097,EIDX
1098,EIGI
1099,EIGR
1100,EKSO
1101,ELOX
1102,ELSE
1103,ELTK
1104,ELYS
1105,EMB
1106,EMCB
1107,EMCF
1108,EMIF
1109,EMKR
1110,EML
1111,EMXC
1112,EMXF
1113,ENDP
1114,ENG
1115,ENLV
1116,ENOB
1117,ENPH
1118,ENSG
1119,ENTA
1120,ENTG
1121,ENTX
1122,ENTXW
1123,ENZL
1124,EOLS
1125,EOSE
1126,EOSEW
1127,EPAY
1128,EPIX
1129,EPSN
1130,EPZM
1131,EQ
1132,EQBK
1133,EQIX
1134,EQOS
1135,EQOSW
1136,EQRR
1137,ERES
1138,ERESU
1139,ERESW
1140,ERIC
1141,ERIE
1142,ERII
1143,ERYP
1144,ESBK
1145,ESCA
1146,ESEA
1147,ESGD
1148,ESGE
1149,ESGR
1150,ESGRO
1151,ESGRP
1152,ESGU
1153,ESLT
1154,ESPO
1155,ESPR
1156,ESQ
1157,ESSA
1158,ESSC
1159,ESSCR
1160,ESSCU
1161,ESSCW
1162,ESTA
1163,ESXB
1164,ETAC
1165,ETACU
1166,ETACW
1167,ETNB
1168,ETON
1169,ETSY
1170,ETTX
1171,EUCRU
1172,EUFN
1173,EVBG
1174,EVER
1175,EVFM
1176,EVGBC
1177,EVGN
1178,EVK
1179,EVLMC
1180,EVLO
1181,EVOK
1182,EVOL
1183,EVOP
1184,EVSTC
1185,EWBC
1186,EWEB
1187,EWJE
1188,EWJV
1189,EWZS
1190,EXAS
1191,EXC
1192,EXEL
1193,EXFO
1194,EXLS
1195,EXPC
1196,EXPCU
1197,EXPCW
1198,EXPD
1199,EXPE
1200,EXPI
1201,EXPO
1202,EXTR
1203,EYE
1204,EYEG
1205,EYEN
1206,EYES
1207,EYESW
1208,EYPT
1209,EZPW
1210,FAAR
1211,FAB
1212,FAD
1213,FALN
1214,FAMI
1215,FANG
1216,FANH
1217,FARM
1218,FARO
1219,FAST
1220,FAT
1221,FATBP
1222,FATBW
1223,FATE
1224,FB
1225,FBIO
1226,FBIOP
1227,FBIZ
1228,FBMS
1229,FBNC
1230,FBRX
1231,FBSS
1232,FBZ
1233,FCA
1234,FCAC
1235,FCACU
1236,FCACW
1237,FCAL
1238,FCAP
1239,FCBC
1240,FCBP
1241,FCCO
1242,FCCY
1243,FCEF
1244,FCEL
1245,FCFS
1246,FCNCA
1247,FCNCP
1248,FCRD
1249,FCVT
1250,FDBC
1251,FDIV
1252,FDNI
1253,FDT
1254,FDTS
1255,FDUS
1256,FDUSG
1257,FDUSL
1258,FDUSZ
1259,FEIM
1260,FELE
1261,FEM
1262,FEMB
1263,FEMS
1264,FENC
1265,FEP
1266,FEUZ
1267,FEX
1268,FEYE
1269,FFBC
1270,FFBW
1271,FFHL
1272,FFIC
1273,FFIN
1274,FFIV
1275,FFNW
1276,FFWM
1277,FGBI
1278,FGEN
1279,FGM
1280,FHB
1281,FHTX
1282,FIBK
1283,FID
1284,FIII
1285,FIIIU
1286,FIIIW
1287,FINX
1288,FISI
1289,FISV
1290,FITB
1291,FITBI
1292,FITBO
1293,FITBP
1294,FIVE
1295,FIVN
1296,FIXD
1297,FIXX
1298,FIZZ
1299,FJP
1300,FKU
1301,FLDM
1302,FLEX
1303,FLGT
1304,FLIC
1305,FLIR
1306,FLL
1307,FLMN
1308,FLMNW
1309,FLN
1310,FLNT
1311,FLUX
1312,FLWS
1313,FLXN
1314,FLXS
1315,FMAO
1316,FMB
1317,FMBH
1318,FMBI
1319,FMBIO
1320,FMBIP
1321,FMHI
1322,FMK
1323,FMNB
1324,FMTX
1325,FNCB
1326,FNHC
1327,FNK
1328,FNKO
1329,FNLC
1330,FNWB
1331,FNX
1332,FNY
1333,FOCS
1334,FOLD
1335,FONR
1336,FORD
1337,FORM
1338,FORR
1339,FORTY
1340,FOSL
1341,FOX
1342,FOXA
1343,FOXF
1344,FPA
1345,FPAY
1346,FPRX
1347,FPXE
1348,FPXI
1349,FRAF
1350,FRAN
1351,FRBA
1352,FRBK
1353,FREE
1354,FREEW
1355,FREQ
1356,FRG
1357,FRGAP
1358,FRGI
1359,FRHC
1360,FRLN
1361,FRME
1362,FROG
1363,FRPH
1364,FRPT
1365,FRSX
1366,FRTA
1367,FSBW
1368,FSDC
1369,FSEA
1370,FSFG
1371,FSLR
1372,FSRV
1373,FSRVU
1374,FSRVW
1375,FSTR
1376,FSTX
1377,FSV
1378,FSZ
1379,FTA
1380,FTAG
1381,FTC
1382,FTCS
1383,FTDR
1384,FTEK
1385,FTFT
1386,FTGC
1387,FTHI
1388,FTHM
1389,FTIV
1390,FTIVU
1391,FTIVW
1392,FTLB
1393,FTNT
1394,FTOC
1395,FTOCU
1396,FTOCW
1397,FTRI
1398,FTSL
1399,FTSM
1400,FTXD
1401,FTXG
1402,FTXH
1403,FTXL
1404,FTXN
1405,FTXO
1406,FTXR
1407,FULC
1408,FULT
1409,FULTP
1410,FUNC
1411,FUND
1412,FUSB
1413,FUSN
1414,FUTU
1415,FUV
1416,FV
1417,FVAM
1418,FVC
1419,FVCB
1420,FVE
1421,FWONA
1422,FWONK
1423,FWP
1424,FWRD
1425,FXNC
1426,FYC
1427,FYT
1428,FYX
1429,GABC
1430,GAIA
1431,GAIN
1432,GAINL
1433,GAINM
1434,GALT
1435,GAN
1436,GASS
1437,GBCI
1438,GBDC
1439,GBIO
1440,GBLI
1441,GBLIL
1442,GBT
1443,GCBC
1444,GCMG
1445,GCMGW
1446,GDEN
1447,GDRX
1448,GDS
1449,GDYN
1450,GDYNW
1451,GEC
1452,GECC
1453,GECCL
1454,GECCM
1455,GECCN
1456,GENC
1457,GENE
1458,GENY
1459,GEOS
1460,GERN
1461,GEVO
1462,GFED
1463,GFN
1464,GFNCP
1465,GFNSL
1466,GFNSZ
1467,GGAL
1468,GH
1469,GHIV
1470,GHIVU
1471,GHIVW
1472,GHSI
1473,GIFI
1474,GIGE
1475,GIGM
1476,GIII
1477,GILD
1478,GILT
1479,GLAD
1480,GLADD
1481,GLADL
1482,GLBS
1483,GLBZ
1484,GLDD
1485,GLDI
1486,GLG
1487,GLIBA
1488,GLIBP
1489,GLMD
1490,GLNG
1491,GLPG
1492,GLPI
1493,GLRE
1494,GLSI
1495,GLTO
1496,GLUU
1497,GLYC
1498,GMAB
1499,GMBL
1500,GMBLW
1501,GMDA
1502,GMHI
1503,GMHIU
1504,GMHIW
1505,GMLP
1506,GMLPP
1507,GNCA
1508,GNFT
1509,GNLN
1510,GNMA
1511,GNMK
1512,GNOM
1513,GNPX
1514,GNRS
1515,GNRSU
1516,GNRSW
1517,GNSS
1518,GNTX
1519,GNTY
1520,GNUS
1521,GO
1522,GOCO
1523,GOGL
1524,GOGO
1525,GOOD
1526,GOODM
1527,GOODN
1528,GOOG
1529,GOOGL
1530,GOSS
1531,GOVX
1532,GOVXW
1533,GP
1534,GPP
1535,GPRE
1536,GPRO
1537,GRAY
1538,GRBK
1539,GRCY
1540,GRCYU
1541,GRCYW
1542,GRFS
1543,GRID
1544,GRIF
1545,GRIL
1546,GRIN
1547,GRMN
1548,GRNQ
1549,GRNV
1550,GRNVR
1551,GRNVU
1552,GRNVW
1553,GROW
1554,GRPN
1555,GRSV
1556,GRSVU
1557,GRSVW
1558,GRTS
1559,GRTX
1560,GRVY
1561,GRWG
1562,GSBC
1563,GSHD
1564,GSIT
1565,GSKY
1566,GSM
1567,GSMG
1568,GSMGW
1569,GSUM
1570,GT
1571,GTEC
1572,GTH
1573,GTHX
1574,GTIM
1575,GTLS
1576,GTYH
1577,GURE
1578,GVP
1579,GWACU
1580,GWGH
1581,GWPH
1582,GWRS
1583,GXGX
1584,GXGXU
1585,GXGXW
1586,GXTG
1587,GYRO
1588,HA
1589,HAACU
1590,HAFC
1591,HAIN
1592,HALL
1593,HALO
1594,HAPP
1595,HARP
1596,HAS
1597,HAYN
1598,HBAN
1599,HBANN
1600,HBANO
1601,HBCP
1602,HBIO
1603,HBMD
1604,HBNC
1605,HBP
1606,HBT
1607,HCAC
1608,HCACU
1609,HCACW
1610,HCAP
1611,HCAPZ
1612,HCAT
1613,HCCH
1614,HCCHR
1615,HCCHU
1616,HCCHW
1617,HCCI
1618,HCDI
1619,HCKT
1620,HCM
1621,HCSG
1622,HDS
1623,HDSN
1624,HEAR
1625,HEC
1626,HECCU
1627,HECCW
1628,HEES
1629,HELE
1630,HEPA
1631,HERD
1632,HERO
1633,HEWG
1634,HFBL
1635,HFEN
1636,HFFG
1637,HFWA
1638,HGBL
1639,HGEN
1640,HGSH
1641,HHR
1642,HIBB
1643,HIFS
1644,HIHO
1645,HIMX
1646,HJLI
1647,HJLIW
1648,HLAL
1649,HLG
1650,HLIO
1651,HLIT
1652,HLNE
1653,HLXA
1654,HMHC
1655,HMNF
1656,HMST
1657,HMSY
1658,HMTV
1659,HNDL
1660,HNNA
1661,HNRG
1662,HOFT
1663,HOFV
1664,HOFVW
1665,HOL
1666,HOLI
1667,HOLUU
1668,HOLUW
1669,HOLX
1670,HOMB
1671,HONE
1672,HOOK
1673,HOPE
1674,HOTH
1675,HOVNP
1676,HPK
1677,HPKEW
1678,HQI
1679,HQY
1680,HRMY
1681,HROW
1682,HRTX
1683,HRZN
1684,HSAQ
1685,HSDT
1686,HSIC
1687,HSII
1688,HSKA
1689,HSON
1690,HST
1691,HSTM
1692,HSTO
1693,HTBI
1694,HTBK
1695,HTBX
1696,HTGM
1697,HTHT
1698,HTIA
1699,HTLD
1700,HTLF
1701,HTLFP
1702,HUBG
1703,HUGE
1704,HUIZ
1705,HURC
1706,HURN
1707,HUSN
1708,HVBC
1709,HWBK
1710,HWC
1711,HWCC
1712,HWCPL
1713,HWCPZ
1714,HWKN
1715,HX
1716,HYAC
1717,HYACU
1718,HYACW
1719,HYLS
1720,HYMC
1721,HYMCW
1722,HYMCZ
1723,HYRE
1724,HYXF
1725,HYZD
1726,HZNP
1727,IAC
1728,IART
1729,IBB
1730,IBBJ
1731,IBCP
1732,IBEX
1733,IBKR
1734,IBOC
1735,IBTA
1736,IBTB
1737,IBTD
1738,IBTE
1739,IBTF
1740,IBTG
1741,IBTH
1742,IBTI
1743,IBTJ
1744,IBTK
1745,IBTX
1746,ICAD
1747,ICBK
1748,ICCC
1749,ICCH
1750,ICFI
1751,ICHR
1752,ICLK
1753,ICLN
1754,ICLR
1755,ICMB
1756,ICON
1757,ICPT
1758,ICUI
1759,IDCC
1760,IDEX
1761,IDLB
1762,IDN
1763,IDRA
1764,IDXG
1765,IDXX
1766,IDYA
1767,IEA
1768,IEAWW
1769,IEC
1770,IEF
1771,IEI
1772,IEP
1773,IESC
1774,IEUS
1775,IFGL
1776,IFMK
1777,IFRX
1778,IFV
1779,IGAC
1780,IGACU
1781,IGACW
1782,IGF
1783,IGIB
1784,IGIC
1785,IGICW
1786,IGMS
1787,IGOV
1788,IGSB
1789,IHRT
1790,III
1791,IIIN
1792,IIIV
1793,IIN
1794,IIVI
1795,IIVIP
1796,IJT
1797,IKNX
1798,ILMN
1799,ILPT
1800,IMAB
1801,IMAC
1802,IMACW
1803,IMBI
1804,IMGN
1805,IMKTA
1806,IMMP
1807,IMMR
1808,IMNM
1809,IMOS
1810,IMRA
1811,IMRN
1812,IMRNW
1813,IMTE
1814,IMTX
1815,IMTXW
1816,IMUX
1817,IMV
1818,IMVT
1819,IMXI
1820,INAQ
1821,INAQU
1822,INAQW
1823,INBK
1824,INBKL
1825,INBKZ
1826,INBX
1827,INCY
1828,INDB
1829,INDY
1830,INFI
1831,INFN
1832,INFR
1833,INGN
1834,INM
1835,INMB
1836,INMD
1837,INO
1838,INOD
1839,INOV
1840,INPX
1841,INSE
1842,INSG
1843,INSM
1844,INTC
1845,INTG
1846,INTU
1847,INTZ
1848,INVA
1849,INVE
1850,INVO
1851,INZY
1852,IONS
1853,IOSP
1854,IOVA
1855,IPAR
1856,IPDN
1857,IPGP
1858,IPHA
1859,IPHI
1860,IPKW
1861,IPLDP
1862,IPWR
1863,IQ
1864,IRBT
1865,IRCP
1866,IRDM
1867,IRIX
1868,IRMD
1869,IROQ
1870,IRTC
1871,IRWD
1872,ISBC
1873,ISDX
1874,ISEE
1875,ISEM
1876,ISHG
1877,ISIG
1878,ISNS
1879,ISRG
1880,ISSC
1881,ISTB
1882,ISTR
1883,ITAC
1884,ITACU
1885,ITACW
1886,ITCI
1887,ITI
1888,ITIC
1889,ITMR
1890,ITOS
1891,ITRI
1892,ITRM
1893,ITRN
1894,IUS
1895,IUSB
1896,IUSG
1897,IUSS
